date,value
2015-06-01,1505.6331233229575
2015-07-01,1596.2132430936144
2015-08-01,1633.6185248783224
2015-09-01,1542.9305979694498
2015-10-01,1557.7722003835916
2015-11-01,1520.1716612663097
2015-12-01,1424.478581677999
2016-01-01,1609.0147586197363
2016-02-01,1499.0552146412908
2016-03-01,1562.7419826828666
2016-04-01,1510.64471274863
2016-05-01,1593.2019715736324
2016-06-01,1636.4596898548382
2016-07-01,1743.4120245299048
2016-08-01,1668.654250320202
2016-09-01,1554.5668413393885
2016-10-01,1531.9130314364431
2016-11-01,1599.6782562748683
2016-12-01,1451.5319916471299
2017-01-01,1650.050245202417
2017-02-01,1479.9280738397563
2017-03-01,1575.7576754768572
2017-04-01,1594.9110618289442
2017-05-01,1602.7360642438957
2017-06-01,1634.273533397725
2017-07-01,1657.505057651601
2017-08-01,1727.4261007547877
2017-09-01,1644.03110662033
2017-10-01,1676.5748470911635
2017-11-01,1578.885738143367
2017-12-01,1546.0984470987541
2018-01-01,1695.591382190556
2018-02-01,1617.486565358001
2018-03-01,1618.9583452084964
2018-04-01,1597.2591029046064
2018-05-01,1673.370513722045
2018-06-01,1692.4218946281644
2018-07-01,1758.133658966129
2018-08-01,1752.5454721087804
2018-09-01,1716.7699297910035
2018-10-01,1573.6004927962863
2018-11-01,1649.9556708747891
2018-12-01,1550.7302588740906
2019-01-01,1796.166325636671
2019-02-01,1518.4891499132418
2019-03-01,1644.751066016523
2019-04-01,1650.4682934031594
2019-05-01,1772.7223585889878
2019-06-01,1730.5796714189837
2019-07-01,1805.419610069739
2019-08-01,1896.5115951317925
2019-09-01,1639.160501407402
2019-10-01,1562.4551218729782
2019-11-01,1715.5509740049094
2019-12-01,1607.4194251756967
2020-01-01,1730.3129826426502
2020-02-01,1672.8086358202904
2020-03-01,1734.59474487342
2020-04-01,1651.570437010869
2020-05-01,1676.052882993499
2020-06-01,1831.7200899294019
2020-07-01,1926.866406790256
2020-08-01,1842.501690112071
2020-09-01,1861.7240298308425
2020-10-01,1666.719420971591
2020-11-01,1663.2302888123454
2020-12-01,1645.1278332779852
2021-01-01,1833.489122219139
2021-02-01,1697.099349126566
2021-03-01,1758.3816808297458
2021-04-01,1746.2505517553013
2021-05-01,1725.4872036093413
2021-06-01,1915.522554392355
2021-07-01,1939.2089432761454
2021-08-01,1964.512677500481
2021-09-01,1833.0552260540314
2021-10-01,1795.4700390529554
2021-11-01,1823.4443634000093
2021-12-01,1751.2092117512977
2022-01-01,1923.3845354361015
2022-02-01,1800.6468156353196
2022-03-01,1831.132414119737
2022-04-01,1813.7757202043158
2022-05-01,1837.6395902911909
2022-06-01,1968.5250355665944
2022-07-01,1957.4570454145673
2022-08-01,2059.149516892037
2022-09-01,1862.553403609153
2022-10-01,1742.2625101231292
2022-11-01,1849.6813558474387
2022-12-01,1739.7135676897383
2023-01-01,1986.8750159382046
2023-02-01,1743.5812054562587
2023-03-01,1844.5744635978497
2023-04-01,1720.6043312026607
2023-05-01,1866.7216656435915
2023-06-01,1797.0756559497925
2023-07-01,1954.4949421862189
2023-08-01,2052.1708789826375
2023-09-01,1960.3489339154426
2023-10-01,1893.4630637253954
2023-11-01,1837.5028304022685
2023-12-01,1821.3892345919107
2024-01-01,1988.7850364924664
2024-02-01,1761.7725830785732
2024-03-01,2005.3416198429245
2024-04-01,1921.2726662387304
2024-05-01,1929.325301447641
2024-06-01,1990.604278012804
2024-07-01,2119.165625806126
2024-08-01,1933.0697867682213
2024-09-01,1951.0244441075258
2024-10-01,1879.542258748255
2024-11-01,1883.8396085034633
2024-12-01,1856.2134075515253
2025-01-01,2150.018415443191
2025-02-01,1907.9897350887552
2025-03-01,1934.2775924432235
2025-04-01,1952.9807682061148
2025-05-01,2075.6254808903795
2025-06-01,2096.5875813942616
2025-07-01,2163.8640479708274
2025-08-01,2071.010085764575
2025-09-01,2058.22854600735
2025-10-01,1991.2313771553002
2025-11-01,2045.4967468288573
2025-12-01,1956.5858957768814
