date,year,month,sector,emission
2007-01-01,2007,1,building,3.7936769215568544
2007-02-01,2007,2,building,3.559228194156436
2007-03-01,2007,3,building,4.452553266261238
2007-04-01,2007,4,building,4.550268011739441
2007-05-01,2007,5,building,4.8028691184713725
2007-06-01,2007,6,building,5.1462444836355825
2007-07-01,2007,7,building,5.421009876944623
2007-08-01,2007,8,building,5.268965127872571
2007-09-01,2007,9,building,4.947008157367072
2007-10-01,2007,10,building,3.8700346057301496
2007-11-01,2007,11,building,4.504179737762682
2007-12-01,2007,12,building,4.245621982341499
2008-01-01,2008,1,building,3.8803995700621243
2008-02-01,2008,2,building,3.5817290646637603
2008-03-01,2008,3,building,4.530212214806553
2008-04-01,2008,4,building,4.560461896752771
2008-05-01,2008,5,building,5.055370665805654
2008-06-01,2008,6,building,5.178647662007236
2008-07-01,2008,7,building,5.510115755973534
2008-08-01,2008,8,building,5.418678370452407
2008-09-01,2008,9,building,4.990992821805152
2008-10-01,2008,10,building,4.076936008549938
2008-11-01,2008,11,building,4.685905248631528
2008-12-01,2008,12,building,4.393078014253393
2009-01-01,2009,1,building,4.009601644431972
2009-02-01,2009,2,building,3.6335241441641437
2009-03-01,2009,3,building,4.675596571805185
2009-04-01,2009,4,building,4.739825701836392
2009-05-01,2009,5,building,5.162327463793859
2009-06-01,2009,6,building,5.355111246556776
2009-07-01,2009,7,building,5.685396434751329
2009-08-01,2009,8,building,5.514665035461447
2009-09-01,2009,9,building,5.10862756297711
2009-10-01,2009,10,building,4.012111437698411
2009-11-01,2009,11,building,4.7612497243804395
2009-12-01,2009,12,building,4.521820450103494
2010-01-01,2010,1,building,4.099953148106517
2010-02-01,2010,2,building,3.790236452556423
2010-03-01,2010,3,building,4.793337041874101
2010-04-01,2010,4,building,4.745588951872754
2010-05-01,2010,5,building,5.218525590213418
2010-06-01,2010,6,building,5.5207577573411415
2010-07-01,2010,7,building,5.808605462278582
2010-08-01,2010,8,building,5.71470128304298
2010-09-01,2010,9,building,5.180601723237914
2010-10-01,2010,10,building,4.188907363095501
2010-11-01,2010,11,building,4.886459339327643
2010-12-01,2010,12,building,4.56055827350898
2011-01-01,2011,1,building,4.144141118882849
2011-02-01,2011,2,building,3.878669945014752
2011-03-01,2011,3,building,4.927996581528151
2011-04-01,2011,4,building,5.0219358441765
2011-05-01,2011,5,building,5.2488070944691625
2011-06-01,2011,6,building,5.587339429341521
2011-07-01,2011,7,building,6.031229541309197
2011-08-01,2011,8,building,5.768156361359894
2011-09-01,2011,9,building,5.321128830114651
2011-10-01,2011,10,building,4.2947549873288065
2011-11-01,2011,11,building,4.942371222344458
2011-12-01,2011,12,building,4.674983289111935
2012-01-01,2012,1,building,4.39725302647516
2012-02-01,2012,2,building,3.9254748644241024
2012-03-01,2012,3,building,5.021378834141373
2012-04-01,2012,4,building,5.06877169189055
2012-05-01,2012,5,building,5.413530890695061
2012-06-01,2012,6,building,5.621887238457998
2012-07-01,2012,7,building,6.1542954327717965
2012-08-01,2012,8,building,5.912573817591262
2012-09-01,2012,9,building,5.525210162962369
2012-10-01,2012,10,building,4.3279535315461
2012-11-01,2012,11,building,5.19118490841045
2012-12-01,2012,12,building,4.613509699845525
2013-01-01,2013,1,building,4.373863482953559
2013-02-01,2013,2,building,4.005797852599204
2013-03-01,2013,3,building,5.115542247964433
2013-04-01,2013,4,building,5.192346537969475
2013-05-01,2013,5,building,5.476213003235154
2013-06-01,2013,6,building,5.874935310032601
2013-07-01,2013,7,building,6.254078208632458
2013-08-01,2013,8,building,6.006811863028376
2013-09-01,2013,9,building,5.6742159409918775
2013-10-01,2013,10,building,4.436146274537018
2013-11-01,2013,11,building,5.205224764223915
2013-12-01,2013,12,building,4.880577818228722
2014-01-01,2014,1,building,4.399826946399381
2014-02-01,2014,2,building,4.1800807990111055
2014-03-01,2014,3,building,5.220261836956513
2014-04-01,2014,4,building,5.260184034821837
2014-05-01,2014,5,building,5.624074290764487
2014-06-01,2014,6,building,5.950261864720937
2014-07-01,2014,7,building,6.349408616274829
2014-08-01,2014,8,building,6.207208053472984
2014-09-01,2014,9,building,5.714920860301431
2014-10-01,2014,10,building,4.641805606484741
2014-11-01,2014,11,building,5.313624487669458
2014-12-01,2014,12,building,4.940941115443167
2015-01-01,2015,1,building,4.55915049479888
2015-02-01,2015,2,building,4.214131943696847
2015-03-01,2015,3,building,5.308173740422561
2015-04-01,2015,4,building,5.3237172839265146
2015-05-01,2015,5,building,5.866596730628098
2015-06-01,2015,6,building,6.012073357642677
2015-07-01,2015,7,building,6.5863878207074915
2015-08-01,2015,8,building,6.222048151557999
2015-09-01,2015,9,building,5.787082383425141
2015-10-01,2015,10,building,4.727561376507211
2015-11-01,2015,11,building,5.3205938627513865
2015-12-01,2015,12,building,5.159094085188333
2016-01-01,2016,1,building,4.574084933207819
2016-02-01,2016,2,building,4.389936799697889
2016-03-01,2016,3,building,5.444108077723157
2016-04-01,2016,4,building,5.552814147687576
2016-05-01,2016,5,building,5.889133430847768
2016-06-01,2016,6,building,6.105504724933348
2016-07-01,2016,7,building,6.549438048917284
2016-08-01,2016,8,building,6.394253189873668
2016-09-01,2016,9,building,6.108648177359196
2016-10-01,2016,10,building,4.781276217224118
2016-11-01,2016,11,building,5.476613684590554
2016-12-01,2016,12,building,5.075439969658852
2017-01-01,2017,1,building,4.739072006825549
2017-02-01,2017,2,building,4.4082916976523165
2017-03-01,2017,3,building,5.431095928725434
2017-04-01,2017,4,building,5.644581461198619
2017-05-01,2017,5,building,5.9433752224305305
2017-06-01,2017,6,building,6.293357595245384
2017-07-01,2017,7,building,6.718978248550504
2017-08-01,2017,8,building,6.616607644853646
2017-09-01,2017,9,building,6.123742063671139
2017-10-01,2017,10,building,4.766877838117839
2017-11-01,2017,11,building,5.605368470577507
2017-12-01,2017,12,building,5.26928565115275
2018-01-01,2018,1,building,4.777362374496882
2018-02-01,2018,2,building,4.315936286553213
2018-03-01,2018,3,building,5.737930157552669
2018-04-01,2018,4,building,5.722955948441417
2018-05-01,2018,5,building,6.0850035808299605
2018-06-01,2018,6,building,6.43316333053607
2018-07-01,2018,7,building,6.7234183971093895
2018-08-01,2018,8,building,6.697675231507236
2018-09-01,2018,9,building,6.190244138287415
2018-10-01,2018,10,building,4.92182419417101
2018-11-01,2018,11,building,5.652560243395927
2018-12-01,2018,12,building,5.481682321595862
2019-01-01,2019,1,building,4.879046145846381
2019-02-01,2019,2,building,4.503252127122007
2019-03-01,2019,3,building,5.77038009076794
2019-04-01,2019,4,building,5.76980955793467
2019-05-01,2019,5,building,6.2832225802741
2019-06-01,2019,6,building,6.637314141785694
2019-07-01,2019,7,building,6.88937887990912
2019-08-01,2019,8,building,6.643160640441755
2019-09-01,2019,9,building,6.35676701429658
2019-10-01,2019,10,building,4.89939962846379
2019-11-01,2019,11,building,5.80245459328326
2019-12-01,2019,12,building,5.440512523797831
2020-01-01,2020,1,building,4.996413613199523
2020-02-01,2020,2,building,4.66214607913724
2020-03-01,2020,3,building,5.813808598164998
2020-04-01,2020,4,building,5.812817965778781
2020-05-01,2020,5,building,6.357912058356774
2020-06-01,2020,6,building,6.5678108529173045
2020-07-01,2020,7,building,7.003482473016492
2020-08-01,2020,8,building,6.989586414969582
2020-09-01,2020,9,building,6.454238023946383
2020-10-01,2020,10,building,4.9586432160293334
2020-11-01,2020,11,building,5.8746793818031104
2020-12-01,2020,12,building,5.471241291095611
2021-01-01,2021,1,building,4.993697760140323
2021-02-01,2021,2,building,4.68995221582558
2021-03-01,2021,3,building,5.886964381474055
2021-04-01,2021,4,building,5.963368892176452
2021-05-01,2021,5,building,6.448948844576481
2021-06-01,2021,6,building,6.6883296286797345
2021-07-01,2021,7,building,7.210930744406309
2021-08-01,2021,8,building,6.860702608845191
2021-09-01,2021,9,building,6.537467425283336
2021-10-01,2021,10,building,5.193877735169283
2021-11-01,2021,11,building,5.870093943028545
2021-12-01,2021,12,building,5.658343534858761
2022-01-01,2022,1,building,5.110882208528807
2022-02-01,2022,2,building,4.723229607915304
2022-03-01,2022,3,building,5.999358350834475
2022-04-01,2022,4,building,6.102581671092611
2022-05-01,2022,5,building,6.636059372797082
2022-06-01,2022,6,building,6.84394763288809
2022-07-01,2022,7,building,7.084913460889888
2022-08-01,2022,8,building,7.0403566669234365
2022-09-01,2022,9,building,6.666550178796816
2022-10-01,2022,10,building,5.107402616886307
2022-11-01,2022,11,building,6.04348190804434
2022-12-01,2022,12,building,5.6357169356110735
2023-01-01,2023,1,building,5.122242994053683
2023-02-01,2023,2,building,4.839770117263187
2023-03-01,2023,3,building,6.240466631148484
2023-04-01,2023,4,building,6.124343038086886
2023-05-01,2023,5,building,6.517764176724976
2023-06-01,2023,6,building,6.880242536645426
2023-07-01,2023,7,building,7.29685038531902
2023-08-01,2023,8,building,7.2578665971475536
2023-09-01,2023,9,building,6.634342167287547
2023-10-01,2023,10,building,5.19725521322812
2023-11-01,2023,11,building,6.209143844236941
2023-12-01,2023,12,building,5.619407399379847
2024-01-01,2024,1,building,5.165430374815212
2024-02-01,2024,2,building,4.83960897548747
2024-03-01,2024,3,building,6.11077785445715
2024-04-01,2024,4,building,6.287951251175793
2024-05-01,2024,5,building,6.702608862507852
2024-06-01,2024,6,building,7.017134480764943
2024-07-01,2024,7,building,7.363276704951994
2024-08-01,2024,8,building,7.31769000432858
2024-09-01,2024,9,building,6.595387842918145
2024-10-01,2024,10,building,5.3425305070691484
2024-11-01,2024,11,building,6.247892569750701
2024-12-01,2024,12,building,5.850900404227999
2025-01-01,2025,1,building,5.306722550140835
2025-02-01,2025,2,building,4.942765967401997
2025-03-01,2025,3,building,6.1781822604092085
2025-04-01,2025,4,building,6.212266013176357
2025-05-01,2025,5,building,6.753873886517488
2025-06-01,2025,6,building,7.122656693800623
2025-07-01,2025,7,building,7.6323470524443975
2025-08-01,2025,8,building,7.196024785715986
2025-09-01,2025,9,building,6.862897477915469
2025-10-01,2025,10,building,5.328961312086714
2025-11-01,2025,11,building,6.208581675050769
2025-12-01,2025,12,building,5.957805323753803
2005-01-01,2005,1,transport,2.6272299643615136
2005-02-01,2005,2,transport,2.474072706923685
2005-03-01,2005,3,transport,3.1341142779556543
2005-04-01,2005,4,transport,3.147197588270669
2005-05-01,2005,5,transport,3.36625607559138
2005-06-01,2005,6,transport,3.5170350760251754
2005-07-01,2005,7,transport,3.7003224361926237
2005-08-01,2005,8,transport,3.6491853006963995
2005-09-01,2005,9,transport,3.377844403110564
2005-10-01,2005,10,transport,2.6923055854069355
2005-11-01,2005,11,transport,3.0866243073606556
2005-12-01,2005,12,transport,2.851720383894342
2006-01-01,2006,1,transport,2.7190310491944403
2006-02-01,2006,2,transport,2.516715477125436
2006-03-01,2006,3,transport,3.1633829458057416
2006-04-01,2006,4,transport,3.1884903741289174
2006-05-01,2006,5,transport,3.459710952132403
2006-06-01,2006,6,transport,3.6124291355765323
2006-07-01,2006,7,transport,3.881719650348819
2006-08-01,2006,8,transport,3.7341731383349
2006-09-01,2006,9,transport,3.4742677976769625
2006-10-01,2006,10,transport,2.7171000471904523
2006-11-01,2006,11,transport,3.2221629792031794
2006-12-01,2006,12,transport,2.9854215552592955
2007-01-01,2007,1,transport,2.7615415916571115
2007-02-01,2007,2,transport,2.590878689882746
2007-03-01,2007,3,transport,3.2411592468457
2007-04-01,2007,4,transport,3.3122890081131704
2007-05-01,2007,5,transport,3.4961656208987884
2007-06-01,2007,6,transport,3.746119787281062
2007-07-01,2007,7,transport,3.9461305096647576
2007-08-01,2007,8,transport,3.8354521606546808
2007-09-01,2007,9,transport,3.601089144731336
2007-10-01,2007,10,transport,2.8171248490212197
2007-11-01,2007,11,transport,3.2787398450963363
2007-12-01,2007,12,transport,3.090527192779047
2008-01-01,2008,1,transport,2.8298375229701054
2008-02-01,2008,2,transport,2.6120277361374558
2008-03-01,2008,3,transport,3.303722794782149
2008-04-01,2008,4,transport,3.3257828129539244
2008-05-01,2008,5,transport,3.6867021924729704
2008-06-01,2008,6,transport,3.776603725361939
2008-07-01,2008,7,transport,4.018331628130002
2008-08-01,2008,8,transport,3.951649591943243
2008-09-01,2008,9,transport,3.639753718401879
2008-10-01,2008,10,transport,2.9731645639672823
2008-11-01,2008,11,transport,3.417264192060449
2008-12-01,2008,12,transport,3.2037156951520394
2009-01-01,2009,1,transport,2.925962570173066
2009-02-01,2009,2,transport,2.6515241628574673
2009-03-01,2009,3,transport,3.4119650218443507
2009-04-01,2009,4,transport,3.458835520974125
2009-05-01,2009,5,transport,3.7671515211524547
2009-06-01,2009,6,transport,3.90783336002889
2009-07-01,2009,7,transport,4.148855332743274
2009-08-01,2009,8,transport,4.024265977446798
2009-09-01,2009,9,transport,3.7279646108941726
2009-10-01,2009,10,transport,2.927794064123761
2009-11-01,2009,11,transport,3.4744694650975956
2009-12-01,2009,12,transport,3.299748593334463
2010-01-01,2010,1,transport,2.9901022020071735
2010-02-01,2010,2,transport,2.7642253346604293
2010-03-01,2010,3,transport,3.495788153210852
2010-04-01,2010,4,transport,3.4609653969750642
2010-05-01,2010,5,transport,3.805878822233443
2010-06-01,2010,6,transport,4.026297211371222
2010-07-01,2010,7,transport,4.236224989880995
2010-08-01,2010,8,transport,4.167740526042738
2010-09-01,2010,9,transport,3.778220887116684
2010-10-01,2010,10,transport,3.05497664922841
2010-11-01,2010,11,transport,3.5637023894504534
2010-12-01,2010,12,transport,3.3260222357172546
2011-01-01,2011,1,transport,3.016740143412541
2011-02-01,2011,2,transport,2.823489594226941
2011-03-01,2011,3,transport,3.587350113719911
2011-04-01,2011,4,transport,3.655733485942101
2011-05-01,2011,5,transport,3.820885103252027
2011-06-01,2011,6,transport,4.067320747009237
2011-07-01,2011,7,transport,4.390451905341452
2011-08-01,2011,8,transport,4.198946983129201
2011-09-01,2011,9,transport,3.873531930882701
2011-10-01,2011,10,transport,3.126379967458412
2011-11-01,2011,11,transport,3.597814177262559
2011-12-01,2011,12,transport,3.4031683172624745
2012-01-01,2012,1,transport,3.191306760682241
2012-02-01,2012,2,transport,2.84891371915589
2012-03-01,2012,3,transport,3.644266119065595
2012-04-01,2012,4,transport,3.6786614896372627
2012-05-01,2012,5,transport,3.9288705077055672
2012-06-01,2012,6,transport,4.080085144944655
2012-07-01,2012,7,transport,4.4664804375799365
2012-08-01,2012,8,transport,4.291050954654086
2012-09-01,2012,9,transport,4.009921749121262
2012-10-01,2012,10,transport,3.141012646300506
2012-11-01,2012,11,transport,3.7675028920138653
2012-12-01,2012,12,transport,3.34825505990775
2013-01-01,2013,1,transport,3.161437373616625
2013-02-01,2013,2,transport,2.89539879141555
2013-03-01,2013,3,transport,3.697524285350741
2013-04-01,2013,4,transport,3.7530385815381617
2013-05-01,2013,5,transport,3.958217836881851
2013-06-01,2013,6,transport,4.246415126833131
2013-07-01,2013,7,transport,4.520460380930891
2013-08-01,2013,8,transport,4.341735766119074
2013-09-01,2013,9,transport,4.101334760843841
2013-10-01,2013,10,transport,3.2064555013685587
2013-11-01,2013,11,transport,3.762346989526969
2013-12-01,2013,12,transport,3.527691520214829
2014-01-01,2014,1,transport,3.1646399849188676
2014-02-01,2014,2,transport,3.006584349315765
2014-03-01,2014,3,transport,3.754749798625153
2014-04-01,2014,4,transport,3.7834644242660183
2014-05-01,2014,5,transport,4.045197821535398
2014-06-01,2014,6,transport,4.2798130124739915
2014-07-01,2014,7,transport,4.566905160689419
2014-08-01,2014,8,transport,4.46462532277694
2014-09-01,2014,9,transport,4.110540547499791
2014-10-01,2014,10,transport,3.3386866809667426
2014-11-01,2014,11,transport,3.8219022528338327
2014-12-01,2014,12,transport,3.553844277865773
2015-01-01,2015,1,transport,3.261303065569425
