date,year,month,sector,emission,is_outlier
2007-04-01,2007,4,building,4.550268011739441,False
2007-05-01,2007,5,building,4.8028691184713725,False
2007-06-01,2007,6,building,5.1462444836355825,False
2007-07-01,2007,7,building,5.421009876944623,False
2007-08-01,2007,8,building,5.268965127872571,False
2007-09-01,2007,9,building,4.947008157367072,False
2007-10-01,2007,10,building,3.879621238790807,False
2007-11-01,2007,11,building,4.504179737762682,False
2007-12-01,2007,12,building,4.245621982341499,False
2008-01-01,2008,1,building,3.8803995700621243,False
2008-02-01,2008,2,building,3.879621238790807,False
2008-03-01,2008,3,building,4.530212214806553,False
2008-04-01,2008,4,building,4.560461896752771,False
2008-05-01,2008,5,building,5.055370665805654,False
2008-06-01,2008,6,building,5.178647662007236,False
2008-07-01,2008,7,building,5.510115755973534,False
2008-08-01,2008,8,building,5.418678370452407,False
2008-09-01,2008,9,building,4.990992821805152,False
2008-10-01,2008,10,building,4.076936008549938,False
2008-11-01,2008,11,building,4.685905248631528,False
2008-12-01,2008,12,building,4.393078014253393,False
2009-01-01,2009,1,building,4.009601644431972,False
2009-02-01,2009,2,building,3.879621238790807,False
2009-03-01,2009,3,building,4.675596571805185,False
2009-04-01,2009,4,building,4.739825701836392,False
2009-05-01,2009,5,building,5.162327463793859,False
2009-06-01,2009,6,building,5.355111246556776,False
2009-07-01,2009,7,building,5.685396434751329,False
2009-08-01,2009,8,building,5.514665035461447,False
2009-09-01,2009,9,building,5.10862756297711,False
2009-10-01,2009,10,building,4.012111437698411,False
2009-11-01,2009,11,building,4.7612497243804395,False
2009-12-01,2009,12,building,4.521820450103494,False
2010-01-01,2010,1,building,4.099953148106517,False
2010-02-01,2010,2,building,3.879621238790807,False
2010-03-01,2010,3,building,4.793337041874101,False
2010-04-01,2010,4,building,4.745588951872754,False
2010-05-01,2010,5,building,5.218525590213418,False
2010-06-01,2010,6,building,5.5207577573411415,False
2010-07-01,2010,7,building,5.808605462278582,False
2010-08-01,2010,8,building,5.71470128304298,False
2010-09-01,2010,9,building,5.180601723237914,False
2010-10-01,2010,10,building,4.188907363095501,False
2010-11-01,2010,11,building,4.886459339327643,False
2010-12-01,2010,12,building,4.56055827350898,False
2011-01-01,2011,1,building,4.144141118882849,False
2011-02-01,2011,2,building,3.879621238790807,False
2011-03-01,2011,3,building,4.927996581528151,False
2011-04-01,2011,4,building,5.0219358441765,False
2011-05-01,2011,5,building,5.2488070944691625,False
2011-06-01,2011,6,building,5.587339429341521,False
2011-07-01,2011,7,building,6.031229541309197,False
2011-08-01,2011,8,building,5.768156361359894,False
2011-09-01,2011,9,building,5.321128830114651,False
2011-10-01,2011,10,building,4.2947549873288065,False
2011-11-01,2011,11,building,4.942371222344458,False
2011-12-01,2011,12,building,4.674983289111935,False
2012-01-01,2012,1,building,4.39725302647516,False
2012-02-01,2012,2,building,3.9254748644241024,False
2012-03-01,2012,3,building,5.021378834141373,False
2012-04-01,2012,4,building,5.06877169189055,False
2012-05-01,2012,5,building,5.413530890695061,False
2012-06-01,2012,6,building,5.621887238457998,False
2012-07-01,2012,7,building,6.1542954327717965,False
2012-08-01,2012,8,building,5.912573817591262,False
2012-09-01,2012,9,building,5.525210162962369,False
2012-10-01,2012,10,building,4.3279535315461,False
2012-11-01,2012,11,building,5.19118490841045,False
2012-12-01,2012,12,building,4.613509699845525,False
2013-01-01,2013,1,building,4.373863482953559,False
2013-02-01,2013,2,building,4.005797852599204,False
2013-03-01,2013,3,building,5.115542247964433,False
2013-04-01,2013,4,building,5.192346537969475,False
2013-05-01,2013,5,building,5.476213003235154,False
2013-06-01,2013,6,building,5.874935310032601,False
2013-07-01,2013,7,building,6.254078208632458,False
2013-08-01,2013,8,building,6.006811863028376,False
2013-09-01,2013,9,building,5.6742159409918775,False
2013-10-01,2013,10,building,4.436146274537018,False
2013-11-01,2013,11,building,5.205224764223915,False
2013-12-01,2013,12,building,4.880577818228722,False
2014-01-01,2014,1,building,4.399826946399381,False
2014-02-01,2014,2,building,4.1800807990111055,False
2014-03-01,2014,3,building,5.220261836956513,False
2014-04-01,2014,4,building,5.260184034821837,False
2014-05-01,2014,5,building,5.624074290764487,False
2014-06-01,2014,6,building,5.950261864720937,False
2014-07-01,2014,7,building,6.349408616274829,False
2014-08-01,2014,8,building,6.207208053472984,False
2014-09-01,2014,9,building,5.714920860301431,False
2014-10-01,2014,10,building,4.641805606484741,False
2014-11-01,2014,11,building,5.313624487669458,False
2014-12-01,2014,12,building,4.940941115443167,False
2015-01-01,2015,1,building,4.55915049479888,False
2015-02-01,2015,2,building,4.214131943696847,False
2015-03-01,2015,3,building,5.308173740422561,False
2015-04-01,2015,4,building,5.3237172839265146,False
2015-05-01,2015,5,building,5.866596730628098,False
2015-06-01,2015,6,building,6.012073357642677,False
2015-07-01,2015,7,building,6.5863878207074915,False
2015-08-01,2015,8,building,6.222048151557999,False
2015-09-01,2015,9,building,5.787082383425141,False
2015-10-01,2015,10,building,4.727561376507211,False
2015-11-01,2015,11,building,5.3205938627513865,False
2015-12-01,2015,12,building,5.159094085188333,False
2016-01-01,2016,1,building,4.574084933207819,False
2016-02-01,2016,2,building,4.389936799697889,False
2016-03-01,2016,3,building,5.444108077723157,False
2016-04-01,2016,4,building,5.552814147687576,False
2016-05-01,2016,5,building,5.889133430847768,False
2016-06-01,2016,6,building,6.105504724933348,False
2016-07-01,2016,7,building,6.549438048917284,False
2016-08-01,2016,8,building,6.394253189873668,False
2016-09-01,2016,9,building,6.108648177359196,False
2016-10-01,2016,10,building,4.781276217224118,False
2016-11-01,2016,11,building,5.476613684590554,False
2016-12-01,2016,12,building,5.075439969658852,False
2017-01-01,2017,1,building,4.739072006825549,False
2017-02-01,2017,2,building,4.4082916976523165,False
2017-03-01,2017,3,building,5.431095928725434,False
2017-04-01,2017,4,building,5.644581461198619,False
2017-05-01,2017,5,building,5.9433752224305305,False
2017-06-01,2017,6,building,6.293357595245384,False
2017-07-01,2017,7,building,6.718978248550504,False
2017-08-01,2017,8,building,6.616607644853646,False
2017-09-01,2017,9,building,6.123742063671139,False
2017-10-01,2017,10,building,4.766877838117839,False
2017-11-01,2017,11,building,5.605368470577507,False
2017-12-01,2017,12,building,5.26928565115275,False
2018-01-01,2018,1,building,4.777362374496882,False
2018-02-01,2018,2,building,4.315936286553213,False
2018-03-01,2018,3,building,5.737930157552669,False
2018-04-01,2018,4,building,5.722955948441417,False
2018-05-01,2018,5,building,6.0850035808299605,False
2018-06-01,2018,6,building,6.43316333053607,False
2018-07-01,2018,7,building,6.7234183971093895,False
2018-08-01,2018,8,building,6.697675231507236,False
2018-09-01,2018,9,building,6.190244138287415,False
2018-10-01,2018,10,building,4.92182419417101,False
2018-11-01,2018,11,building,5.652560243395927,False
2018-12-01,2018,12,building,5.481682321595862,False
2019-01-01,2019,1,building,4.879046145846381,False
2019-02-01,2019,2,building,4.503252127122007,False
2019-03-01,2019,3,building,5.77038009076794,False
2019-04-01,2019,4,building,5.76980955793467,False
2019-05-01,2019,5,building,6.2832225802741,False
2019-06-01,2019,6,building,6.637314141785694,False
2019-07-01,2019,7,building,6.88937887990912,False
2019-08-01,2019,8,building,6.643160640441755,False
2019-09-01,2019,9,building,6.35676701429658,False
2019-10-01,2019,10,building,4.89939962846379,False
2019-11-01,2019,11,building,5.80245459328326,False
2019-12-01,2019,12,building,5.440512523797831,False
2020-01-01,2020,1,building,4.996413613199523,False
2020-02-01,2020,2,building,4.66214607913724,False
2020-03-01,2020,3,building,5.813808598164998,False
2020-04-01,2020,4,building,5.812817965778781,False
2020-05-01,2020,5,building,6.357912058356774,False
2020-06-01,2020,6,building,6.5678108529173045,False
2020-07-01,2020,7,building,6.934472270686327,False
2020-08-01,2020,8,building,6.934472270686327,False
2020-09-01,2020,9,building,6.454238023946383,False
2020-10-01,2020,10,building,4.9586432160293334,False
2020-11-01,2020,11,building,5.8746793818031104,False
2020-12-01,2020,12,building,5.471241291095611,False
2021-01-01,2021,1,building,4.993697760140323,False
2021-02-01,2021,2,building,4.68995221582558,False
2021-03-01,2021,3,building,5.886964381474055,False
2021-04-01,2021,4,building,5.963368892176452,False
2021-05-01,2021,5,building,6.448948844576481,False
2021-06-01,2021,6,building,6.6883296286797345,False
2021-07-01,2021,7,building,6.934472270686327,False
2021-08-01,2021,8,building,6.860702608845191,False
2021-09-01,2021,9,building,6.537467425283336,False
2021-10-01,2021,10,building,5.193877735169283,False
2021-11-01,2021,11,building,5.870093943028545,False
2021-12-01,2021,12,building,5.658343534858761,False
2022-01-01,2022,1,building,5.110882208528807,False
2022-02-01,2022,2,building,4.723229607915304,False
2022-03-01,2022,3,building,5.999358350834475,False
2022-04-01,2022,4,building,6.102581671092611,False
2022-05-01,2022,5,building,6.636059372797082,False
2022-06-01,2022,6,building,6.84394763288809,False
2022-07-01,2022,7,building,6.934472270686327,False
2022-08-01,2022,8,building,6.934472270686327,False
2022-09-01,2022,9,building,6.666550178796816,False
2022-10-01,2022,10,building,5.107402616886307,False
2022-11-01,2022,11,building,6.04348190804434,False
2022-12-01,2022,12,building,5.6357169356110735,False
2023-01-01,2023,1,building,5.122242994053683,False
2023-02-01,2023,2,building,4.839770117263187,False
2023-03-01,2023,3,building,6.240466631148484,False
2023-04-01,2023,4,building,6.124343038086886,False
2023-05-01,2023,5,building,6.517764176724976,False
2023-06-01,2023,6,building,6.880242536645426,False
2023-07-01,2023,7,building,6.934472270686327,False
2023-08-01,2023,8,building,6.934472270686327,False
2023-09-01,2023,9,building,6.634342167287547,False
2023-10-01,2023,10,building,5.19725521322812,False
2023-11-01,2023,11,building,6.209143844236941,False
2023-12-01,2023,12,building,5.619407399379847,False
2024-01-01,2024,1,building,5.165430374815212,False
2024-02-01,2024,2,building,4.83960897548747,False
2024-03-01,2024,3,building,6.11077785445715,False
2024-04-01,2024,4,building,6.287951251175793,False
2024-05-01,2024,5,building,6.702608862507852,False
2024-06-01,2024,6,building,6.934472270686327,False
2024-07-01,2024,7,building,6.934472270686327,False
2024-08-01,2024,8,building,6.934472270686327,False
2024-09-01,2024,9,building,6.595387842918145,False
2024-10-01,2024,10,building,5.3425305070691484,False
2024-11-01,2024,11,building,6.247892569750701,False
2024-12-01,2024,12,building,5.850900404227999,False
2025-01-01,2025,1,building,5.306722550140835,False
2025-02-01,2025,2,building,4.942765967401997,False
2025-03-01,2025,3,building,6.1781822604092085,False
2025-04-01,2025,4,building,6.212266013176357,False
2025-05-01,2025,5,building,6.753873886517488,False
2025-06-01,2025,6,building,6.934472270686327,False
2025-07-01,2025,7,building,6.934472270686327,False
2025-08-01,2025,8,building,6.934472270686327,False
2025-09-01,2025,9,building,6.862897477915469,False
2025-10-01,2025,10,building,5.328961312086714,False
2025-11-01,2025,11,building,6.208581675050769,False
2025-12-01,2025,12,building,5.957805323753803,False
2005-01-01,2005,1,transport,2.8269809550356815,False
2005-02-01,2005,2,transport,2.8269809550356815,False
2005-03-01,2005,3,transport,3.1341142779556543,False
2005-04-01,2005,4,transport,3.147197588270669,False
2005-05-01,2005,5,transport,3.36625607559138,False
2005-06-01,2005,6,transport,3.5170350760251754,False
2005-07-01,2005,7,transport,3.7003224361926237,False
2005-08-01,2005,8,transport,3.6491853006963995,False
2005-09-01,2005,9,transport,3.377844403110564,False
2005-10-01,2005,10,transport,2.8269809550356815,False
2005-11-01,2005,11,transport,3.0866243073606556,False
2005-12-01,2005,12,transport,2.851720383894342,False
2006-01-01,2006,1,transport,2.8269809550356815,False
2006-02-01,2006,2,transport,2.8269809550356815,False
2006-03-01,2006,3,transport,3.1633829458057416,False
2006-04-01,2006,4,transport,3.1884903741289174,False
2006-05-01,2006,5,transport,3.459710952132403,False
2006-06-01,2006,6,transport,3.6124291355765323,False
2006-07-01,2006,7,transport,3.881719650348819,False
2006-08-01,2006,8,transport,3.7341731383349,False
2006-09-01,2006,9,transport,3.4742677976769625,False
2006-10-01,2006,10,transport,2.8269809550356815,False
2006-11-01,2006,11,transport,3.2221629792031794,False
2006-12-01,2006,12,transport,2.9854215552592955,False
2007-01-01,2007,1,transport,2.8269809550356815,False
2007-02-01,2007,2,transport,2.8269809550356815,False
2007-03-01,2007,3,transport,3.2411592468457,False
2007-04-01,2007,4,transport,3.3122890081131704,False
2007-05-01,2007,5,transport,3.4961656208987884,False
2007-06-01,2007,6,transport,3.746119787281062,False
2007-07-01,2007,7,transport,3.9461305096647576,False
2007-08-01,2007,8,transport,3.8354521606546808,False
2007-09-01,2007,9,transport,3.601089144731336,False
2007-10-01,2007,10,transport,2.8269809550356815,False
2007-11-01,2007,11,transport,3.2787398450963363,False
2007-12-01,2007,12,transport,3.090527192779047,False
2008-01-01,2008,1,transport,2.8298375229701054,False
2008-02-01,2008,2,transport,2.8269809550356815,False
2008-03-01,2008,3,transport,3.303722794782149,False
2008-04-01,2008,4,transport,3.3257828129539244,False
2008-05-01,2008,5,transport,3.6867021924729704,False
2008-06-01,2008,6,transport,3.776603725361939,False
2008-07-01,2008,7,transport,4.018331628130002,False
2008-08-01,2008,8,transport,3.951649591943243,False
2008-09-01,2008,9,transport,3.639753718401879,False
2008-10-01,2008,10,transport,2.9731645639672823,False
2008-11-01,2008,11,transport,3.417264192060449,False
2008-12-01,2008,12,transport,3.2037156951520394,False
2009-01-01,2009,1,transport,2.925962570173066,False
2009-02-01,2009,2,transport,2.8269809550356815,False
2009-03-01,2009,3,transport,3.4119650218443507,False
2009-04-01,2009,4,transport,3.458835520974125,False
2009-05-01,2009,5,transport,3.7671515211524547,False
2009-06-01,2009,6,transport,3.90783336002889,False
2009-07-01,2009,7,transport,4.148855332743274,False
2009-08-01,2009,8,transport,4.024265977446798,False
2009-09-01,2009,9,transport,3.7279646108941726,False
2009-10-01,2009,10,transport,2.927794064123761,False
2009-11-01,2009,11,transport,3.4744694650975956,False
2009-12-01,2009,12,transport,3.299748593334463,False
2010-01-01,2010,1,transport,2.9901022020071735,False
2010-02-01,2010,2,transport,2.8269809550356815,False
2010-03-01,2010,3,transport,3.495788153210852,False
2010-04-01,2010,4,transport,3.4609653969750642,False
2010-05-01,2010,5,transport,3.805878822233443,False
2010-06-01,2010,6,transport,4.026297211371222,False
2010-07-01,2010,7,transport,4.236224989880995,False
2010-08-01,2010,8,transport,4.167740526042738,False
2010-09-01,2010,9,transport,3.778220887116684,False
2010-10-01,2010,10,transport,3.05497664922841,False
2010-11-01,2010,11,transport,3.5637023894504534,False
